era,set_name,abbreviation,group_id,total_products,cards_only,price_rows,cached
Base,Base Set,BS,604,109,102,107,True
Base,Base Set (Shadowless),BSS,1663,111,102,203,False
Base,Base Set 2,BS2,605,137,130,134,False
Base,Jungle,JU,635,70,64,132,False
Base,Fossil,FO,630,69,62,129,False
Base,Team Rocket,TR,1373,89,83,170,False
Base,Gym Heroes,G1,1441,140,132,268,False
Base,Gym Challenge,G2,1440,140,132,266,False
Neo,Neo Genesis,N1,1396,117,111,224,False
Neo,Neo Discovery,N2,1434,80,75,152,False
Neo,Neo Revelation,N3,1389,69,66,130,False
Neo,Neo Destiny,N4,1444,119,113,220,False
Legendary,Legendary Collection,LC,1374,114,110,208,False
Legendary,Expedition,EX,1375,168,165,320,False
Legendary,Aquapolis,AQ,1397,187,186,324,False
Legendary,Skyridge,SK,1372,185,182,306,False
EX,Ruby and Sapphire,RS,1393,112,109,211,False
EX,Sandstorm,SS,1392,103,100,194,False
EX,Dragon,DR,1376,103,100,189,False
EX,Team Magma vs Team Aqua,MA,1377,102,97,184,False
EX,Hidden Legends,HL,1416,107,102,195,False
EX,FireRed & LeafGreen,RG,1419,120,116,240,False
EX,Team Rocket Returns,RR,1428,113,111,214,False
EX,Deoxys,DX,1404,112,108,215,False
EX,Emerald,EM,1410,111,107,216,False
EX,Unseen Forces,UF,1398,149,145,246,False
EX,Delta Species,DS,1429,118,114,218,False
EX,Legend Maker,LM,1378,95,93,174,False
EX,Holon Phantoms,HP,1379,115,111,207,False
EX,Crystal Guardians,CG,1395,103,101,189,False
EX,Dragon Frontiers,DF,1411,104,101,191,False
EX,Power Keepers,PK,1383,111,108,200,False
DP,Diamond and Pearl,DP,1430,135,130,254,False
DP,Mysterious Treasures,MT,1368,128,124,246,False
DP,Great Encounters,GE,1405,108,106,209,False
DP,Majestic Dawn,MD,1390,104,100,198,False
DP,Legends Awakened,LA,1417,149,146,284,False
DP,Stormfront,SF,1369,108,106,202,False
Platinum,Platinum,PL,1406,141,133,254,False
Platinum,Rising Rivals,RR,1367,122,120,221,False
Platinum,Supreme Victors,SV,1384,156,153,293,False
Platinum,Arceus,AR,1391,120,111,205,False
HG&SS,HeartGold SoulSilver,HS,1402,126,124,231,False
HG&SS,Unleashed,UL,1399,98,96,180,False
HG&SS,Undaunted,UD,1403,93,91,172,False
HG&SS,Triumphant,TM,1381,106,104,193,False
HG&SS,Call of Legends,CoL,1415,109,106,200,False
B&W,Black and White,BLW,1400,133,122,224,False
B&W,Emerging Powers,EPO,1424,121,107,198,False
B&W,Noble Victories,NVI,1385,119,110,202,False
B&W,Next Destinies,NXD,1412,120,111,196,False
B&W,Dark Explorers,DEX,1386,117,112,209,False
B&W,Dragons Exalted,DRX,1394,131,129,239,False
B&W,Boundaries Crossed,BCR,1408,160,156,286,False
B&W,Plasma Storm,PLS,1413,146,141,260,False
B&W,Plasma Freeze,PLF,1382,128,123,225,False
B&W,Plasma Blast,PLB,1370,115,109,197,False
B&W,Legendary Treasures,LTR,1409,119,116,216,False
XY,XY Base Set,XY,1387,197,169,289,False
XY,Flashfire,FLF,1464,147,126,212,False
XY,Furious Fists,FFI,1481,158,133,233,False
XY,Phantom Forces,PHF,1494,156,137,235,False
XY,Primal Clash,PRC,1509,196,178,306,False
XY,Double Crisis,DCR,1525,37,34,68,False
XY,Roaring Skies,ROS,1534,144,126,209,False
XY,Ancient Origins,AOR,1576,134,116,187,False
XY,BREAKthrough,BKT,1661,227,192,328,False
XY,BREAKpoint,BKP,1701,155,137,237,False
XY,Generations,GEN,1728,119,101,180,False
XY,Fates Collide,FCO,1780,167,142,249,False
XY,Steam Siege,STS,1815,159,134,238,False
XY,Evolutions,EVO,1842,176,140,239,False
SM,SM Base Set,SM01,1863,216,184,342,False
SM,Guardians Rising,SM02,1919,242,202,340,False
SM,Burning Shadows,SM03,1957,214,188,326,False
SM,Shining Legends,SHL,2054,101,87,159,False
SM,Crimson Invasion,SM04,2071,161,140,245,False
SM,Ultra Prism,SM05,2178,211,189,323,False
SM,Forbidden Light,SM06,2209,178,158,268,False
SM,Celestial Storm,CES,2278,222,199,344,False
SM,Dragon Majesty,DRM,2295,91,82,145,False
SM,Lost Thunder,SM8,2328,271,251,434,False
SM,Team Up,SM9,2377,246,222,385,False
SM,Unbroken Bonds,SM10,2420,271,250,439,False
SM,Unified Minds,SM11,2464,298,274,484,False
SM,Hidden Fates,HIF,2480,96,78,151,False
SM,Hidden Fates: Shiny Vault,HIFSV,2594,94,94,94,False
SM,Cosmic Eclipse,SM12,2534,301,281,487,False
SwSh,Sword & Shield Base Set,SWSH01,2585,289,246,448,False
SwSh,Rebel Clash,SWSH02,2626,254,224,394,False
SwSh,Darkness Ablaze,SWSH03,2675,243,216,390,False
SwSh,Champion's Path,CHP,2685,110,93,163,False
SwSh,Vivid Voltage,SWSH04,2701,247,220,384,False
SwSh,Shining Fates,SHF,2754,116,88,161,False
SwSh,Shining Fates: Shiny Vault,SHFSV,2781,122,122,122,False
SwSh,Battle Styles,SWSH05,2765,232,202,347,False
SwSh,Chilling Reign,SWSH06,2807,275,248,410,False
SwSh,Evolving Skies,SWSH07,2848,288,255,416,False
SwSh,Celebrations,CLB,2867,74,38,72,False
SwSh,Celebrations: Classic Collection,CCC,2931,25,25,25,False
SwSh,Fusion Strike,SWSH08,2906,330,296,544,False
SwSh,Brilliant Stars,SWSH09,2948,234,206,364,False
SwSh,Brilliant Stars Trainer Gallery,BST,3020,30,30,30,False
SwSh,Astral Radiance,SWSH10,3040,253,225,377,False
SwSh,Astral Radiance Trainer Gallery,ASRTG,3068,30,30,30,False
SwSh,Pokemon GO,PGO,3064,146,108,197,False
SwSh,Lost Origin,SWSH11,3118,274,231,419,False
SwSh,Lost Origin Trainer Gallery,LORTG,3172,30,30,30,False
SwSh,Silver Tempest,SWSH12,3170,253,225,389,False
SwSh,Silver Tempest Trainer Gallery,ST,17674,30,30,30,False
SwSh,Crown Zenith,CRZ,17688,225,181,335,False
SwSh,Crown Zenith: Galarian Gallery,CRZGG,17689,70,70,70,False
SV,Scarlet & Violet Base Set,SVI,22873,304,273,484,False
SV,Scarlet & Violet Promo Cards,SVP,22872,283,283,279,False
SV,Scarlet & Violet Energies,SVE,24382,40,40,57,False
SV,Paldea Evolved,PAL,23120,315,288,489,False
SV,Obsidian Flames,OBF,23228,262,238,435,False
SV,Scarlet & Violet 151,MEW,23237,249,215,401,False
SV,Paradox Rift,PAR,23286,307,276,461,False
SV,Paldean Fates,PAF,23353,295,258,372,False
SV,Temporal Forces,TEF,23381,260,229,395,False
SV,Twilight Masquerade,TWM,23473,262,238,408,False
SV,Shrouded Fable,SFA,23529,137,114,189,False
SV,Stellar Crown,SCR,23537,211,187,333,False
SV,Surging Sparks,SSP,23651,288,262,451,False
SV,Prismatic Evolutions,PRE,23821,399,356,498,False
SV,Journey Together,JTG,24073,225,198,367,False
SV,Destined Rivals,DRI,24269,281,256,444,False
SV,Black Bolt,BLK,24325,358,331,438,False
SV,White Flare,WHT,24326,342,330,422,False
Mega Evolution,ME01: Mega Evolution,MEG,24380,228,195,349,False
Mega Evolution,MEE: Mega Evolution Energies,MEE,24461,8,8,16,False
Mega Evolution,ME: Mega Evolution Promo,MEP,24451,70,70,69,False
Mega Evolution,ME02: Phantasmal Flames,PFL,24448,158,134,241,False
Mega Evolution,ME: Ascended Heroes,ASC,24541,612,580,650,False
Mega Evolution,ME03: Perfect Order,POR,24587,154,132,229,False
Mega Evolution,ME04: Chaos Rising,CRI,24655,141,122,214,False
Mega Evolution,ME05: Pitch Black,ME05,24688,23,0,16,False
